# Frequency (Hz), Power Spectrum (A^2/Hz)
0, 2.65652252e-05
2.69165039, 3.03806337e-05
5.38330078, 1.7968714e-05
8.07495117, 2.03490799e-05
10.7666016, 2.7457625e-05
13.458252, 4.69477091e-05
16.1499023, 2.97093811e-05
18.8415527, 2.1930824e-05
21.5332031, 1.2278997e-05
24.2248535, 9.74114209e-06
26.9165039, 7.81522613e-06
29.6081543, 9.93262438e-06
32.2998047, 2.55974519e-05
34.9914551, 4.92520485e-05
37.6831055, 2.56760468e-05
40.3747559, 1.36618419e-05
43.0664062, 1.14760405e-05
45.7580566, 9.53005019e-06
48.449707, 9.80828008e-06
51.1413574, 1.37241277e-05
53.8330078, 2.53682574e-05
56.5246582, 3.18767234e-05
59.2163086, 2.38580724e-05
61.907959, 1.09435005e-05
64.5996094, 6.6013954e-06
67.2912598, 7.97376651e-06
69.9829102, 4.87149009e-06
72.6745605, 3.68010205e-06
75.3662109, 3.92911625e-06
78.0578613, 3.21466405e-06
80.7495117, 3.54805275e-06
83.4411621, 4.19442085e-06
86.1328125, 3.47219611e-06
88.8244629, 3.47249716e-06
91.5161133, 3.90108562e-06
94.2077637, 2.79502615e-06
96.8994141, 2.62835056e-06
99.5910645, 3.30518105e-06
102.282715, 2.3467494e-06
104.974365, 1.97664508e-06
107.666016, 3.11432586e-06
110.357666, 2.54331053e-06
113.049316, 1.93594451e-06
115.740967, 3.0800652e-06
118.432617, 2.80891732e-06
121.124268, 2.90036405e-06
123.815918, 4.32374236e-06
126.507568, 5.37938558e-06
129.199219, 1.01692058e-05
131.890869, 1.58435942e-05
134.58252, 8.09983794e-06
137.27417, 3.83254428e-06
139.96582, 4.25229064e-06
142.657471, 4.58080831e-06
145.349121, 3.4406039e-06
148.040771, 3.96329779e-06
150.732422, 5.12780571e-06
153.424072, 3.64266953e-06
156.115723, 3.84470695e-06
158.807373, 5.16698628e-06
161.499023, 3.63438403e-06
164.190674, 2.90896901e-06
166.882324, 3.72374507e-06
169.573975, 2.69677139e-06
172.265625, 2.51133747e-06
174.957275, 3.980972e-06
177.648926, 5.77256469e-06
180.340576, 1.06572725e-05
183.032227, 1.19450751e-05
185.723877, 6.11593532e-06
188.415527, 4.29780039e-06
191.107178, 5.43062606e-06
193.798828, 3.97877602e-06
196.490479, 3.45231183e-06
199.182129, 6.37318908e-06
201.873779, 5.24079496e-06
204.56543, 3.56619694e-06
207.25708, 4.5374918e-06
209.94873, 5.1735442e-06
212.640381, 4.00875106e-05
215.332031, 0.000860539032
218.023682, 0.000852160389
220.715332, 3.84375744e-05
223.406982, 4.74539593e-06
226.098633, 3.9973811e-06
228.790283, 2.47758862e-06
231.481934, 3.80730035e-06
234.173584, 4.87284342e-06
236.865234, 2.76914761e-06
239.556885, 3.63974868e-06
242.248535, 4.67570044e-06
244.940186, 3.22901087e-06
247.631836, 3.97044732e-06
250.323486, 4.6975083e-06
253.015137, 2.57148167e-06
255.706787, 3.2210537e-06
258.398438, 4.35824768e-06
261.090088, 2.49113418e-06
263.781738, 2.50838184e-06
266.473389, 3.93012624e-06
269.165039, 3.09512689e-06
271.856689, 3.32721675e-06
274.54834, 3.9125116e-06
277.23999, 2.42445162e-06
279.931641, 2.08579741e-06
282.623291, 3.82072767e-06
285.314941, 2.97555971e-06
288.006592, 2.05979222e-06
290.698242, 3.86954889e-06
293.389893, 3.40989845e-06
296.081543, 2.72361513e-06
298.773193, 5.05931166e-06
301.464844, 4.72428428e-06
304.156494, 2.89549598e-06
306.848145, 4.25994494e-06
309.539795, 3.81061568e-06
312.231445, 2.20140782e-06
314.923096, 2.92793129e-06
317.614746, 3.39596909e-06
320.306396, 1.8674009e-06
322.998047, 2.62827416e-06
325.689697, 3.69746749e-06
328.381348, 1.9222523e-06
331.072998, 2.55146733e-06
333.764648, 3.58600664e-06
336.456299, 2.24993005e-06
339.147949, 2.59732178e-06
341.8396, 3.81214068e-06
344.53125, 2.35222933e-06
347.2229, 2.33778474e-06
349.914551, 4.37016297e-06
352.606201, 2.92448749e-06
355.297852, 2.47864477e-06
357.989502, 4.22066387e-06
360.681152, 3.15555371e-06
363.372803, 2.40424561e-06
366.064453, 4.01698799e-06
368.756104, 3.3904339e-06
371.447754, 5.15828015e-06
374.139404, 4.95596305e-06
376.831055, 2.93202766e-06
379.522705, 1.72018292e-06
382.214355, 2.96035887e-06
384.906006, 2.8841705e-06
387.597656, 1.72767136e-06
390.289307, 2.92082814e-06
392.980957, 3.13004648e-06
395.672607, 1.94201402e-06
398.364258, 3.20261256e-06
401.055908, 3.51810195e-06
403.747559, 1.90999504e-06
406.439209, 2.5532413e-06
409.130859, 3.35773893e-06
411.82251, 1.92159177e-06
414.51416, 2.79902633e-06
417.205811, 4.17169031e-06
419.897461, 2.51679376e-06
422.589111, 2.75417119e-06
425.280762, 3.82882308e-06
427.972412, 2.52212908e-06
430.664062, 0.000314413453
433.355713, 0.00121628796
436.047363, 0.000301584776
438.739014, 3.21543439e-06
441.430664, 4.50906828e-06
444.122314, 3.76359731e-06
446.813965, 3.26876489e-06
449.505615, 4.47221601e-06
452.197266, 3.03843922e-06
454.888916, 2.08279766e-06
457.580566, 3.12301654e-06
460.272217, 2.16864555e-06
462.963867, 1.52979601e-06
465.655518, 3.03866796e-06
468.347168, 2.58332375e-06
471.038818, 1.64544838e-06
473.730469, 3.01498949e-06
476.422119, 2.91916876e-06
479.11377, 1.71952456e-06
481.80542, 2.69505881e-06
484.49707, 2.71170848e-06
487.188721, 1.68472445e-06
489.880371, 2.64755226e-06
492.572021, 2.61359128e-06
495.263672, 1.19849778e-06
497.955322, 2.07557832e-06
500.646973, 2.95666132e-06
503.338623, 1.28536135e-06
506.030273, 1.6301168e-06
508.721924, 2.68497843e-06
511.413574, 1.41561611e-06
514.105225, 2.09121868e-06
516.796875, 3.30096782e-06
519.488525, 1.73908802e-06
522.180176, 1.88493391e-06
524.871826, 3.23790096e-06
527.563477, 2.00187537e-06
530.255127, 1.69844793e-06
532.946777, 2.81470921e-06
535.638428, 1.6538711e-06
538.330078, 1.27495514e-06
541.021729, 2.88963292e-06
543.713379, 2.04673916e-06
546.405029, 1.34560423e-06
549.09668, 2.60112893e-06
551.78833, 2.06781465e-06
554.47998, 1.45304261e-06
557.171631, 2.55432997e-06
559.863281, 2.58378168e-06
562.554932, 1.34044399e-06
565.246582, 2.51118945e-06
567.938232, 2.74929516e-06
570.629883, 1.39119095e-06
573.321533, 2.09391624e-06
576.013184, 2.3258558e-06
578.704834, 1.16007163e-06
581.396484, 1.91632262e-06
584.088135, 2.52306859e-06
586.779785, 1.07434687e-06
589.471436, 1.41085809e-06
592.163086, 2.56018029e-06
594.854736, 1.76697301e-06
597.546387, 1.58504827e-06
600.238037, 2.71506428e-06
602.929688, 1.64009964e-06
605.621338, 1.66011807e-06
608.312988, 2.89992636e-06
611.004639, 1.57704312e-06
613.696289, 1.24818644e-06
616.387939, 2.56446492e-06
619.07959, 1.60741342e-06
621.77124, 1.23142718e-06
624.462891, 2.67783253e-06
627.154541, 1.79324047e-06
629.846191, 1.23663108e-06
632.537842, 2.76893616e-06
635.229492, 2.06733148e-06
637.921143, 1.39808958e-06
640.612793, 2.66261191e-06
643.304443, 2.87843932e-06
645.996094, 2.98853174e-05
648.687744, 0.000649943366
651.379395, 0.00063177332
654.071045, 2.64187292e-05
656.762695, 2.79484084e-06
659.454346, 2.53733606e-06
662.145996, 1.39433655e-06
664.837646, 2.01041985e-06
667.529297, 2.53478811e-06
670.220947, 1.14662112e-06
672.912598, 1.62717242e-06
675.604248, 2.32988305e-06
678.295898, 1.33984645e-06
680.987549, 1.71245017e-06
683.679199, 2.43910858e-06
686.37085, 1.24064911e-06
689.0625, 1.59084652e-06
691.75415, 2.48570791e-06
694.445801, 1.36154836e-06
697.137451, 1.38604742e-06
699.829102, 2.27295754e-06
702.520752, 1.42870272e-06
705.212402, 1.51020129e-06
707.904053, 2.17386514e-06
710.595703, 1.39973395e-06
713.287354, 1.25033534e-06
715.979004, 2.35844504e-06
718.670654, 1.75052264e-06
721.362305, 1.14251816e-06
724.053955, 2.0670268e-06
726.745605, 1.71866259e-06
729.437256, 1.18461651e-06
732.128906, 2.34513664e-06
734.820557, 2.16509579e-06
737.512207, 1.27042972e-06
740.203857, 2.04138883e-06
742.895508, 1.98965472e-06
745.587158, 1.18231196e-06
748.278809, 1.57969771e-06
750.970459, 1.90535229e-06
753.662109, 9.63986167e-07
756.35376, 1.48968002e-06
759.04541, 2.14596594e-06
761.737061, 1.04366575e-06
764.428711, 1.33392291e-06
767.120361, 1.90758647e-06
769.812012, 1.14893135e-06
772.503662, 1.4148186e-06
775.195312, 2.4795836e-06
777.886963, 2.27161422e-06
780.578613, 4.21799996e-06
783.270264, 3.72439899e-06
785.961914, 1.55568773e-06
788.653564, 1.13111139e-06
791.345215, 1.82509621e-06
794.036865, 1.26140617e-06
796.728516, 1.0860233e-06
799.420166, 1.98384123e-06
802.111816, 1.33949322e-06
804.803467, 8.19492925e-07
807.495117, 1.58465878e-06
810.186768, 1.68699125e-06
812.878418, 1.16391516e-06
815.570068, 1.70147825e-06
818.261719, 1.68035615e-06
820.953369, 1.1430792e-06
823.64502, 1.74172669e-06
826.33667, 1.74113245e-06
829.02832, 9.72602379e-07
831.719971, 1.62206061e-06
834.411621, 1.93484448e-06
837.103271, 1.0829624e-06
839.794922, 1.49771722e-06
842.486572, 1.87966657e-06
845.178223, 1.05382264e-06
847.869873, 1.4100616e-06
850.561523, 2.08285701e-06
853.253174, 1.24379062e-06
855.944824, 1.48203344e-06
858.636475, 2.12711711e-06
861.328125, 1.51508004e-06
864.019775, 0.000161359319
866.711426, 0.000608847418
869.403076, 0.000148036284
872.094727, 1.32932018e-06
874.786377, 2.04818252e-06
877.478027, 1.52569703e-06
880.169678, 1.35005803e-06
882.861328, 2.13750263e-06
885.552979, 1.42840918e-06
888.244629, 1.06606785e-06
