# Frequency (Hz), Power Spectrum (A^2/Hz)
0, 1.05521802e-09
2.69165039, 4.1955297e-09
5.38330078, 4.67678385e-09
8.07495117, 6.87577684e-09
10.7666016, 9.23108789e-09
13.458252, 2.71908718e-08
16.1499023, 2.59940975e-08
18.8415527, 1.32835254e-08
21.5332031, 1.04765983e-08
24.2248535, 9.64026725e-09
26.9165039, 6.25703978e-09
29.6081543, 1.22121149e-08
32.2998047, 2.58241339e-08
34.9914551, 1.14002887e-08
37.6831055, 6.39486997e-09
40.3747559, 7.83729437e-09
43.0664062, 1.08084102e-08
45.7580566, 5.05598123e-08
48.449707, 4.74126892e-07
51.1413574, 3.24914737e-07
53.8330078, 1.29084086e-08
56.5246582, 7.48838325e-09
59.2163086, 8.64369287e-09
61.907959, 2.65982276e-08
64.5996094, 4.90585421e-08
67.2912598, 9.45390077e-09
69.9829102, 3.62278141e-09
72.6745605, 3.53357255e-09
75.3662109, 4.73947326e-09
78.0578613, 3.78642495e-09
80.7495117, 3.74456732e-09
83.4411621, 3.82428578e-09
86.1328125, 2.58212762e-09
88.8244629, 5.22239274e-09
91.5161133, 9.11690901e-09
94.2077637, 3.89269275e-08
96.8994141, 6.09657178e-08
99.5910645, 1.47796193e-08
102.282715, 3.48587381e-09
104.974365, 1.94802774e-09
107.666016, 3.4276344e-09
110.357666, 2.40722109e-09
113.049316, 1.67428937e-09
115.740967, 3.09659076e-09
118.432617, 2.58582422e-09
121.124268, 1.56430779e-09
123.815918, 4.40147252e-09
126.507568, 5.01032815e-08
129.199219, 5.73724925e-08
131.890869, 8.15273182e-09
134.58252, 4.13257473e-09
137.27417, 2.00251349e-09
139.96582, 3.19977334e-09
142.657471, 4.09846024e-09
145.349121, 3.72323616e-09
148.040771, 5.26324495e-09
150.732422, 4.36058167e-09
153.424072, 2.54781884e-09
156.115723, 5.14369614e-09
158.807373, 5.14490779e-08
161.499023, 4.28796874e-08
164.190674, 2.84730084e-09
166.882324, 2.63005995e-09
169.573975, 1.32900202e-09
172.265625, 1.40145529e-09
174.957275, 2.98908431e-09
177.648926, 1.84217563e-09
180.340576, 1.78184445e-09
183.032227, 3.2504901e-09
185.723877, 2.17081486e-09
188.415527, 5.3167919e-09
191.107178, 5.016663e-08
193.798828, 3.27234737e-08
196.490479, 2.71600542e-09
199.182129, 3.85896648e-09
201.873779, 4.46351489e-09
204.56543, 4.47208004e-09
207.25708, 4.70838124e-09
209.94873, 4.4158166e-09
212.640381, 3.86287979e-08
215.332031, 8.00141663e-07
218.023682, 7.92998094e-07
220.715332, 4.17956727e-08
223.406982, 4.73030397e-08
226.098633, 2.43136995e-08
228.790283, 4.26649516e-09
231.481934, 3.91912147e-09
234.173584, 3.57856433e-09
236.865234, 1.5534547e-09
239.556885, 2.21899921e-09
242.248535, 3.66373176e-09
244.940186, 1.74272952e-09
247.631836, 2.02657002e-09
250.323486, 3.38524009e-09
253.015137, 8.91347884e-09
255.706787, 4.02600584e-08
258.398438, 1.56482631e-08
261.090088, 9.90251658e-10
263.781738, 1.09264098e-09
266.473389, 2.27086572e-09
269.165039, 1.13053433e-09
271.856689, 7.53755003e-10
274.54834, 2.28858021e-09
277.23999, 1.31269595e-09
279.931641, 8.07122924e-10
282.623291, 2.20928364e-09
285.314941, 9.93130023e-09
288.006592, 3.38465682e-08
290.698242, 1.11112985e-08
293.389893, 2.28934738e-09
296.081543, 1.17520371e-09
298.773193, 2.49341858e-09
301.464844, 2.17234497e-09
304.156494, 1.24807598e-09
306.848145, 2.51341725e-09
309.539795, 2.48717513e-09
312.231445, 1.16205334e-09
314.923096, 1.92276239e-09
317.614746, 1.20191848e-08
320.306396, 2.89854913e-08
322.998047, 6.275231e-09
325.689697, 2.060488e-09
328.381348, 5.96215688e-10
331.072998, 1.19725663e-09
333.764648, 2.12474549e-09
336.456299, 7.07745473e-10
339.147949, 9.34052946e-10
341.8396, 2.09060769e-09
344.53125, 8.89620322e-10
347.2229, 1.00911424e-09
349.914551, 1.32351454e-08
352.606201, 2.41883953e-08
355.297852, 3.70357212e-09
357.989502, 2.50325427e-09
360.681152, 1.09624976e-09
363.372803, 6.92173041e-10
366.064453, 1.99920969e-09
368.756104, 1.31576328e-09
371.447754, 8.87791174e-10
374.139404, 2.14203433e-09
376.831055, 1.384721e-09
379.522705, 6.06649397e-10
382.214355, 1.3430542e-08
384.906006, 1.96928873e-08
387.597656, 1.95022909e-09
390.289307, 1.65339809e-09
392.980957, 1.7806735e-09
395.672607, 8.82628415e-10
398.364258, 1.74077874e-09
401.055908, 2.1076545e-09
403.747559, 8.01781086e-10
406.439209, 1.72152692e-09
409.130859, 2.62362088e-09
411.82251, 1.46252555e-09
414.51416, 1.46574397e-08
417.205811, 1.76612254e-08
419.897461, 4.45540094e-09
422.589111, 3.43722917e-09
425.280762, 3.30748651e-09
427.972412, 2.43088727e-09
430.664062, 2.6493953e-07
433.355713, 1.00862769e-06
436.047363, 2.54383451e-07
438.739014, 2.3788651e-09
441.430664, 3.25980132e-09
444.122314, 3.65891029e-09
446.813965, 1.58372746e-08
449.505615, 1.36729854e-08
452.197266, 2.23018604e-09
454.888916, 1.2232837e-09
457.580566, 2.73333822e-09
460.272217, 1.74422876e-09
462.963867, 9.15775178e-10
465.655518, 2.16533858e-09
468.347168, 1.67273073e-09
471.038818, 8.1858087e-10
473.730469, 1.62768155e-09
476.422119, 2.51501753e-09
479.11377, 1.31293731e-08
481.80542, 9.32814892e-09
484.49707, 1.58424829e-09
487.188721, 3.39245854e-10
489.880371, 1.3018342e-09
492.572021, 1.85925431e-09
495.263672, 4.70186334e-10
497.955322, 9.56606683e-10
500.646973, 1.6270767e-09
503.338623, 4.87130669e-10
506.030273, 8.5188151e-10
508.721924, 3.43219941e-09
511.413574, 1.29235662e-08
514.105225, 6.47329479e-09
516.796875, 1.77632331e-09
519.488525, 6.2632266e-10
522.180176, 6.71641465e-10
524.871826, 1.85749949e-09
527.563477, 7.02699066e-10
530.255127, 5.22017429e-10
532.946777, 1.674624e-09
535.638428, 7.96482269e-10
538.330078, 3.90603577e-10
541.021729, 3.65437436e-09
543.713379, 1.25961277e-08
546.405029, 4.1092143e-09
549.09668, 1.38276712e-09
551.78833, 1.11299725e-09
554.47998, 4.59402377e-10
557.171631, 1.38576572e-09
559.863281, 1.16200061e-09
562.554932, 3.20801691e-10
565.246582, 1.24844035e-09
567.938232, 1.34949418e-09
570.629883, 3.7997136e-10
573.321533, 3.83729981e-09
576.013184, 1.1999151e-08
578.704834, 2.82818946e-09
581.396484, 8.57408089e-10
584.088135, 1.34118883e-09
586.779785, 3.38929884e-10
589.471436, 8.37220682e-10
592.163086, 1.72363257e-09
594.854736, 4.23561408e-10
597.546387, 5.79331305e-10
600.238037, 1.44836798e-09
602.929688, 5.16682919e-10
605.621338, 3.97884659e-09
608.312988, 1.12979253e-08
611.004639, 2.51122856e-09
613.696289, 8.65369054e-10
616.387939, 1.8761126e-09
619.07959, 1.06007503e-09
621.77124, 8.25555568e-10
624.462891, 2.14264806e-09
627.154541, 1.32141653e-09
629.846191, 9.09611164e-10
632.537842, 2.27202612e-09
635.229492, 2.73699841e-09
637.921143, 6.6911725e-09
640.612793, 1.06697895e-08
643.304443, 3.50603901e-09
645.996094, 2.88977802e-08
648.687744, 5.84969371e-07
651.379395, 5.69367785e-07
654.071045, 2.58692392e-08
656.762695, 2.25054309e-09
659.454346, 2.54283505e-09
662.145996, 2.55474952e-09
664.837646, 2.44888132e-09
667.529297, 2.18475948e-09
