# Frequency (Hz), Power Spectrum (A^2/Hz)
0, 6.77183976e-10
2.69165039, 3.39819417e-09
5.38330078, 2.02735251e-09
8.07495117, 2.13949258e-09
10.7666016, 1.85244753e-09
13.458252, 1.76288761e-09
16.1499023, 1.81314164e-09
18.8415527, 1.40796741e-09
21.5332031, 8.32772462e-10
24.2248535, 1.42132339e-09
26.9165039, 1.17966392e-09
29.6081543, 1.31845308e-08
32.2998047, 3.68365569e-08
34.9914551, 7.47503126e-09
37.6831055, 2.50096632e-09
40.3747559, 3.37201445e-09
43.0664062, 3.00570746e-09
45.7580566, 1.82224502e-09
48.449707, 1.70615633e-09
51.1413574, 1.38561163e-09
53.8330078, 4.56602617e-10
56.5246582, 8.40372882e-10
59.2163086, 1.37394396e-09
61.907959, 4.17523225e-08
64.5996094, 8.81311308e-08
67.2912598, 1.16089174e-08
69.9829102, 3.17777304e-10
72.6745605, 5.02227038e-10
75.3662109, 1.16424914e-09
78.0578613, 3.2085079e-10
80.7495117, 4.63947297e-10
83.4411621, 1.1098702e-09
86.1328125, 3.75864562e-10
88.8244629, 3.90240229e-10
91.5161133, 2.28461072e-09
94.2077637, 6.74211051e-08
96.8994141, 1.04527082e-07
99.5910645, 9.42929201e-09
102.282715, 5.69427783e-10
104.974365, 1.84636945e-10
107.666016, 1.15439203e-09
110.357666, 6.13490259e-10
113.049316, 1.42870021e-10
115.740967, 1.00525588e-09
118.432617, 7.66810948e-10
121.124268, 2.04412834e-10
123.815918, 3.64704311e-09
126.507568, 8.21059274e-08
129.199219, 9.40750979e-08
131.890869, 6.27532248e-09
134.58252, 1.12104159e-09
137.27417, 2.38089243e-10
139.96582, 9.14882781e-10
142.657471, 1.23165167e-09
145.349121, 1.78016768e-10
148.040771, 7.79770526e-10
150.732422, 1.23833055e-09
153.424072, 2.82939172e-10
156.115723, 5.16087528e-09
158.807373, 8.61694573e-08
161.499023, 7.2886877e-08
164.190674, 2.65620037e-09
166.882324, 1.33996314e-09
169.573975, 3.85698862e-10
172.265625, 4.15826179e-10
174.957275, 1.47735069e-09
177.648926, 6.04979844e-10
180.340576, 7.39014683e-10
183.032227, 1.79681536e-09
185.723877, 1.12167331e-09
188.415527, 7.13261983e-09
191.107178, 8.33539531e-08
193.798828, 5.22267278e-08
196.490479, 1.62972169e-09
199.182129, 2.5641973e-09
201.873779, 2.4824609e-09
204.56543, 2.26891506e-09
207.25708, 2.44217846e-09
209.94873, 2.60861488e-09
212.640381, 2.65881468e-08
215.332031, 5.65370101e-07
218.023682, 5.59987654e-07
220.715332, 3.6509352e-08
223.406982, 7.88463268e-08
226.098633, 3.78995537e-08
228.790283, 2.49917287e-09
231.481934, 2.503727e-09
234.173584, 2.52285837e-09
236.865234, 1.03940956e-09
239.556885, 9.76084991e-10
242.248535, 1.78299153e-09
244.940186, 4.74062789e-10
247.631836, 1.05841114e-09
250.323486, 1.77081161e-09
253.015137, 1.32502489e-08
255.706787, 6.90036899e-08
258.398438, 2.49485126e-08
261.090088, 4.4183604e-10
263.781738, 3.7153966e-10
266.473389, 1.31009015e-09
269.165039, 4.25100649e-10
271.856689, 2.37381614e-10
274.54834, 1.42620005e-09
277.23999, 6.35883457e-10
279.931641, 2.32020028e-10
282.623291, 1.22351995e-09
285.314941, 1.55312296e-08
288.006592, 5.90544111e-08
290.698242, 1.57406586e-08
293.389893, 8.94856855e-10
296.081543, 2.10886808e-10
298.773193, 1.16531063e-09
301.464844, 1.0516864e-09
304.156494, 2.01473407e-10
306.848145, 1.01662179e-09
309.539795, 1.15685184e-09
312.231445, 1.56342148e-10
314.923096, 8.44665282e-10
317.614746, 1.83728428e-08
320.306396, 4.95760268e-08
322.998047, 9.38861788e-09
325.689697, 1.30992472e-09
328.381348, 1.74512668e-10
331.072998, 5.12924148e-10
333.764648, 1.25854593e-09
336.456299, 2.95510116e-10
339.147949, 4.63469291e-10
341.8396, 1.42543899e-09
344.53125, 3.69929032e-10
347.2229, 5.93572635e-10
349.914551, 2.10805826e-08
352.606201, 4.14911341e-08
355.297852, 5.18729948e-09
357.989502, 1.44520884e-09
360.681152, 5.5367938e-10
363.372803, 2.68149752e-10
366.064453, 1.22229049e-09
368.756104, 6.17343232e-10
371.447754, 1.78146886e-10
374.139404, 1.23250232e-09
376.831055, 7.7965151e-10
379.522705, 4.44502102e-10
382.214355, 2.23152643e-08
384.906006, 3.35830315e-08
387.597656, 2.73744494e-09
390.289307, 1.0298874e-09
392.980957, 1.08387499e-09
395.672607, 4.33430569e-10
398.364258, 1.22324439e-09
401.055908, 1.58493796e-09
403.747559, 4.74192408e-10
406.439209, 1.01193054e-09
409.130859, 1.59654923e-09
411.82251, 1.32844957e-09
414.51416, 2.33455602e-08
417.205811, 2.68931135e-08
419.897461, 3.58158614e-09
422.589111, 1.88468974e-09
425.280762, 2.37149633e-09
427.972412, 1.86584193e-09
430.664062, 1.87235344e-07
433.355713, 7.15916769e-07
436.047363, 1.79787051e-07
438.739014, 1.82640247e-09
441.430664, 2.40444198e-09
444.122314, 2.93862401e-09
446.813965, 2.47900438e-08
449.505615, 2.14084537e-08
452.197266, 2.17120899e-09
454.888916, 5.5452376e-10
457.580566, 1.53248003e-09
460.272217, 9.3774577e-10
462.963867, 4.59675964e-10
465.655518, 1.51491164e-09
468.347168, 1.14675935e-09
471.038818, 4.0938225e-10
473.730469, 1.05685694e-09
476.422119, 2.89041835e-09
479.11377, 2.26508465e-08
481.80542, 1.48731161e-08
484.49707, 1.08400566e-09
487.188721, 8.75316902e-11
489.880371, 7.17397752e-10
492.572021, 1.11161691e-09
495.263672, 1.57626398e-10
497.955322, 5.66166669e-10
500.646973, 1.08473386e-09
503.338623, 2.28717989e-10
506.030273, 5.10775533e-10
508.721924, 3.96987687e-09
511.413574, 2.18488303e-08
514.105225, 1.05916991e-08
516.796875, 1.31930034e-09
519.488525, 3.9210718e-10
522.180176, 3.2901834e-10
524.871826, 1.22060628e-09
527.563477, 3.81043197e-10
530.255127, 2.48515097e-10
532.946777, 1.05342102e-09
535.638428, 4.15222162e-10
538.330078, 1.50562743e-10
541.021729, 4.78689088e-09
543.713379, 2.06260466e-08
546.405029, 6.8656445e-09
549.09668, 9.35847067e-10
551.78833, 6.70742517e-10
554.47998, 1.08777647e-10
557.171631, 9.34943345e-10
559.863281, 8.05389477e-10
562.554932, 1.64141922e-10
565.246582, 8.62800997e-10
567.938232, 9.24479493e-10
570.629883, 1.61659297e-10
573.321533, 5.6099827e-09
576.013184, 1.95682812e-08
578.704834, 4.70064876e-09
581.396484, 6.06944828e-10
584.088135, 9.58298996e-10
586.779785, 1.76182874e-10
589.471436, 5.01407027e-10
592.163086, 1.08691522e-09
