# Frequency (Hz), Power Spectrum (A^2/Hz)
0, 7.84319554e-10
2.69165039, 2.49478704e-09
5.38330078, 6.53835874e-09
8.07495117, 9.95029481e-09
10.7666016, 2.12078568e-08
13.458252, 8.19528054e-08
16.1499023, 5.35774269e-08
18.8415527, 2.49312428e-08
21.5332031, 1.57728124e-08
24.2248535, 1.08330234e-08
26.9165039, 8.63700755e-09
29.6081543, 1.32448346e-08
32.2998047, 2.87254061e-08
34.9914551, 1.27084787e-08
37.6831055, 7.09381354e-09
40.3747559, 9.35176558e-09
43.0664062, 1.17610197e-08
45.7580566, 5.73982817e-08
48.449707, 5.58921386e-07
51.1413574, 3.8421021e-07
53.8330078, 1.67994934e-08
56.5246582, 6.21731289e-09
59.2163086, 8.86326212e-09
61.907959, 3.18397397e-08
64.5996094, 5.61469911e-08
67.2912598, 1.1294488e-08
69.9829102, 3.48518636e-09
72.6745605, 3.40053163e-09
75.3662109, 3.7177128e-09
78.0578613, 3.36691075e-09
80.7495117, 4.05684997e-09
83.4411621, 4.0859609e-09
86.1328125, 4.19490265e-09
88.8244629, 8.76166961e-09
91.5161133, 9.5271524e-09
94.2077637, 3.8354564e-08
96.8994141, 6.6574195e-08
99.5910645, 1.97345269e-08
102.282715, 3.9149457e-09
104.974365, 1.92645522e-09
107.666016, 2.49600962e-09
110.357666, 2.25608554e-09
113.049316, 2.00560479e-09
115.740967, 1.96518624e-09
118.432617, 1.83223126e-09
121.124268, 1.73581116e-09
123.815918, 4.16628865e-09
126.507568, 4.95361938e-08
129.199219, 6.02251191e-08
131.890869, 1.08714291e-08
134.58252, 3.61974162e-09
137.27417, 2.12982743e-09
139.96582, 3.16729221e-09
142.657471, 4.57415039e-09
145.349121, 5.26256061e-09
148.040771, 5.82921489e-09
150.732422, 3.44321816e-09
153.424072, 3.1869567e-09
156.115723, 7.08073511e-09
158.807373, 5.26172066e-08
161.499023, 4.38044125e-08
164.190674, 2.48646459e-09
166.882324, 1.37237111e-09
169.573975, 9.96065563e-10
172.265625, 1.16730225e-09
174.957275, 1.95705718e-09
177.648926, 1.32958822e-09
180.340576, 1.38860712e-09
