# Frequency (Hz), Power Spectrum (A^2/Hz)
0, 3.82277818e-08
2.69165039, 6.95884026e-08
5.38330078, 7.78070302e-08
8.07495117, 2.88954965e-07
10.7666016, 2.68541982e-07
13.458252, 2.81309667e-07
16.1499023, 7.34769287e-07
18.8415527, 4.67269842e-07
21.5332031, 7.72863302e-08
24.2248535, 7.07457488e-08
26.9165039, 5.49287549e-08
29.6081543, 4.52159767e-08
32.2998047, 8.18860926e-08
34.9914551, 8.01253535e-08
37.6831055, 4.7412005e-08
40.3747559, 6.57604389e-08
43.0664062, 5.8821545e-08
45.7580566, 5.35538192e-08
48.449707, 7.15331652e-08
51.1413574, 7.21265536e-08
53.8330078, 1.09262068e-07
56.5246582, 1.24587814e-07
59.2163086, 8.46161612e-08
61.907959, 3.96595823e-08
64.5996094, 5.00952808e-08
67.2912598, 6.5174234e-08
69.9829102, 3.29770522e-08
72.6745605, 4.35500347e-08
75.3662109, 6.23804794e-08
78.0578613, 3.79572178e-08
80.7495117, 4.92330159e-08
83.4411621, 7.43682307e-08
86.1328125, 4.06768592e-08
88.8244629, 4.4885109e-08
91.5161133, 6.25422345e-08
94.2077637, 4.16733918e-08
96.8994141, 4.19598756e-08
99.5910645, 7.36292094e-08
102.282715, 4.27816822e-08
104.974365, 3.00870049e-08
107.666016, 5.78077319e-08
110.357666, 4.34560654e-08
113.049316, 2.89441235e-08
115.740967, 6.17862668e-08
118.432617, 5.68922474e-08
121.124268, 4.19899777e-08
123.815918, 6.83432475e-08
126.507568, 7.97939492e-08
129.199219, 6.18439273e-08
131.890869, 1.07785063e-07
134.58252, 9.5626369e-08
137.27417, 3.73340256e-08
139.96582, 5.90191789e-08
142.657471, 7.15418622e-08
145.349121, 3.50487497e-08
148.040771, 5.66761607e-08
150.732422, 7.7239136e-08
153.424072, 3.29312719e-08
156.115723, 4.10506011e-08
158.807373, 7.57403029e-08
161.499023, 5.40720535e-08
164.190674, 4.30349516e-08
166.882324, 7.53832481e-08
169.573975, 5.01081452e-08
172.265625, 4.18848991e-08
174.957275, 7.9134395e-08
177.648926, 4.66698928e-08
180.340576, 3.68556243e-08
183.032227, 8.20370971e-08
185.723877, 5.50773223e-08
188.415527, 4.17899422e-08
191.107178, 8.26607689e-08
193.798828, 6.09233908e-08
196.490479, 4.20200621e-08
199.182129, 8.5476529e-08
201.873779, 5.80689559e-08
204.56543, 3.118965e-08
207.25708, 7.93316062e-08
209.94873, 8.54394813e-08
212.640381, 9.89149498e-07
215.332031, 2.35377465e-05
218.023682, 2.33213887e-05
220.715332, 9.47914373e-07
223.406982, 8.61292051e-08
226.098633, 8.11493877e-08
228.790283, 3.65928337e-08
231.481934, 6.19357152e-08
234.173584, 8.49930331e-08
236.865234, 3.88220798e-08
239.556885, 5.78184611e-08
242.248535, 8.21009181e-08
244.940186, 3.86283645e-08
247.631836, 5.47355405e-08
250.323486, 8.40578167e-08
253.015137, 3.73492242e-08
255.706787, 4.8242768e-08
258.398438, 8.52386606e-08
261.090088, 4.33940066e-08
263.781738, 4.95839068e-08
266.473389, 7.61218928e-08
269.165039, 4.33744027e-08
271.856689, 5.24041539e-08
274.54834, 7.81958605e-08
277.23999, 4.03042151e-08
279.931641, 3.07108152e-08
282.623291, 8.27399802e-08
285.314941, 5.54071491e-08
288.006592, 2.84199118e-08
290.698242, 7.21459372e-08
293.389893, 5.93551057e-08
296.081543, 3.41952493e-08
298.773193, 9.2760466e-08
301.464844, 8.33831493e-08
304.156494, 3.38461739e-08
306.848145, 6.54867023e-08
309.539795, 6.25569356e-08
312.231445, 3.28589671e-08
314.923096, 5.91643392e-08
317.614746, 6.93888538e-08
320.306396, 2.57360835e-08
322.998047, 4.62684753e-08
325.689697, 6.70616274e-08
328.381348, 2.93972811e-08
331.072998, 4.31965681e-08
333.764648, 7.69869786e-08
336.456299, 3.73226676e-08
339.147949, 4.17615169e-08
341.8396, 7.49932951e-08
344.53125, 4.13115622e-08
347.2229, 4.06047782e-08
349.914551, 9.25245018e-08
352.606201, 4.93794907e-08
355.297852, 3.5378978e-08
357.989502, 8.19613604e-08
360.681152, 4.95037185e-08
363.372803, 3.14238413e-08
366.064453, 7.76414524e-08
368.756104, 4.92725611e-08
371.447754, 3.11606456e-08
374.139404, 6.89664361e-08
376.831055, 6.30606038e-08
379.522705, 3.49502862e-08
382.214355, 6.30711412e-08
384.906006, 6.3888379e-08
387.597656, 3.41178854e-08
390.289307, 6.2969356e-08
392.980957, 6.79288235e-08
395.672607, 2.98730214e-08
398.364258, 5.81093254e-08
401.055908, 7.19997217e-08
403.747559, 3.10515951e-08
406.439209, 5.14309555e-08
409.130859, 7.26165013e-08
411.82251, 3.3494679e-08
414.51416, 4.85560747e-08
417.205811, 7.66491723e-08
419.897461, 2.74893512e-08
422.589111, 4.07710452e-08
425.280762, 7.50606688e-08
427.972412, 2.9922127e-08
430.664062, 8.23683695e-06
433.355713, 3.22433734e-05
436.047363, 7.91199727e-06
438.739014, 3.01475218e-08
441.430664, 7.54351248e-08
444.122314, 4.00639806e-08
446.813965, 2.79985795e-08
449.505615, 7.44367838e-08
452.197266, 4.6157183e-08
454.888916, 3.17821538e-08
457.580566, 7.0070044e-08
460.272217, 4.88130176e-08
462.963867, 2.93299731e-08
465.655518, 6.82038248e-08
468.347168, 5.32027968e-08
471.038818, 2.70716711e-08
473.730469, 6.35338253e-08
476.422119, 5.82405484e-08
479.11377, 3.15809068e-08
481.80542, 5.85904409e-08
484.49707, 5.57483872e-08
487.188721, 3.10495771e-08
489.880371, 5.73551731e-08
492.572021, 5.81216995e-08
495.263672, 2.03545838e-08
497.955322, 4.30307843e-08
500.646973, 6.78926924e-08
503.338623, 2.40729428e-08
506.030273, 3.9463238e-08
508.721924, 6.92836863e-08
511.413574, 2.96264844e-08
514.105225, 4.20241335e-08
516.796875, 7.94203459e-08
519.488525, 3.35598216e-08
522.180176, 3.50380631e-08
524.871826, 6.40180744e-08
527.563477, 3.48350291e-08
530.255127, 3.20268008e-08
532.946777, 6.71522855e-08
535.638428, 3.57726471e-08
538.330078, 2.34390711e-08
541.021729, 5.66016354e-08
543.713379, 3.78110911e-08
546.405029, 2.07004387e-08
549.09668, 5.84912634e-08
551.78833, 4.7825278e-08
554.47998, 2.58197463e-08
557.171631, 5.16107832e-08
559.863281, 5.14684366e-08
562.554932, 2.42252778e-08
565.246582, 5.88423568e-08
567.938232, 6.52189414e-08
570.629883, 2.50956482e-08
573.321533, 4.74431445e-08
576.013184, 5.82329527e-08
578.704834, 2.08092654e-08
581.396484, 4.11448404e-08
584.088135, 5.95585412e-08
586.779785, 2.10305302e-08
589.471436, 3.19396314e-08
592.163086, 6.11664888e-08
594.854736, 3.64744537e-08
597.546387, 3.17532027e-08
600.238037, 6.11865261e-08
602.929688, 3.59040868e-08
605.621338, 3.09319574e-08
608.312988, 6.38099067e-08
611.004639, 3.40468169e-08
613.696289, 2.66298379e-08
616.387939, 6.30166639e-08
619.07959, 3.65311834e-08
621.77124, 2.45525609e-08
624.462891, 5.90802642e-08
627.154541, 3.93333899e-08
629.846191, 2.38495623e-08
632.537842, 5.90362177e-08
635.229492, 3.9009489e-08
637.921143, 1.91640677e-08
640.612793, 5.38767999e-08
643.304443, 5.62606743e-08
645.996094, 7.74105104e-07
648.687744, 1.81022115e-05
651.379395, 1.76171216e-05
654.071045, 6.84581266e-07
656.762695, 5.53936097e-08
659.454346, 5.18784127e-08
662.145996, 1.85164808e-08
664.837646, 3.80430443e-08
667.529297, 5.54471029e-08
670.220947, 2.28433112e-08
672.912598, 3.78418399e-08
675.604248, 5.47170558e-08
678.295898, 2.26990551e-08
680.987549, 3.38751747e-08
683.679199, 5.62250726e-08
686.37085, 2.33590995e-08
689.0625, 3.07697796e-08
691.75415, 5.532074e-08
694.445801, 2.68926854e-08
697.137451, 3.15012088e-08
699.829102, 5.0528886e-08
702.520752, 2.62745488e-08
705.212402, 3.09586419e-08
707.904053, 4.87230984e-08
710.595703, 2.49842476e-08
713.287354, 1.77075066e-08
715.979004, 4.89269745e-08
718.670654, 3.2725989e-08
721.362305, 1.71363048e-08
724.053955, 4.64221444e-08
726.745605, 3.69344875e-08
729.437256, 2.00562038e-08
732.128906, 5.11312237e-08
734.820557, 4.41178223e-08
737.512207, 1.90021741e-08
740.203857, 3.95256166e-08
742.895508, 3.89984258e-08
745.587158, 2.12437481e-08
748.278809, 3.87908088e-08
750.970459, 4.66235512e-08
753.662109, 1.87312068e-08
756.35376, 2.91658573e-08
759.04541, 4.0747576e-08
761.737061, 1.67160792e-08
764.428711, 2.60686743e-08
767.120361, 4.72406398e-08
769.812012, 2.24009096e-08
772.503662, 2.5383196e-08
775.195312, 4.56392151e-08
777.886963, 2.45935148e-08
780.578613, 2.35950708e-08
783.270264, 5.34805338e-08
785.961914, 2.82076442e-08
788.653564, 2.05279136e-08
