# Frequency (Hz), Power Spectrum (A^2/Hz)
0, 1.95415395e-09
0.168228149, 9.80615944e-09
0.336456299, 5.49522516e-09
0.504684448, 2.62614397e-09
0.672912598, 1.73105963e-09
0.841140747, 2.36556352e-09
1.0093689, 4.46936266e-09
1.17759705, 4.44581971e-09
1.3458252, 2.68403721e-09
1.51405334, 2.14352514e-09
1.68228149, 2.09436335e-09
1.85050964, 2.36225328e-09
2.01873779, 2.99146197e-09
2.18696594, 2.56247601e-09
2.35519409, 2.5896747e-09
2.52342224, 2.94620994e-09
2.69165039, 2.5977307e-09
2.85987854, 3.66153752e-09
3.02810669, 5.79052273e-09
3.19633484, 7.8055562e-09
3.36456299, 7.44046158e-09
3.53279114, 4.97677677e-09
3.70101929, 3.77583209e-09
3.86924744, 3.16458437e-09
4.03747559, 2.07106998e-09
4.20570374, 1.95362415e-09
4.37393188, 1.97375694e-09
4.54216003, 1.7475793e-09
4.71038818, 3.42143713e-09
4.87861633, 2.94857072e-09
5.04684448, 2.79854384e-09
5.21507263, 2.58733301e-09
5.38330078, 1.95277705e-09
5.55152893, 1.65641723e-09
5.71975708, 1.32379141e-09
5.88798523, 1.29493338e-09
6.05621338, 1.65319292e-09
6.22444153, 2.25243824e-09
6.39266968, 1.6939925e-09
6.56089783, 1.25631827e-09
6.72912598, 2.05381645e-09
6.89735413, 3.01387693e-09
7.06558228, 2.39929343e-09
7.23381042, 2.21592655e-09
7.40203857, 2.79870771e-09
7.57026672, 3.26674354e-09
7.73849487, 2.77057977e-09
7.90672302, 3.44147466e-09
8.07495117, 4.05184553e-09
8.24317932, 4.32287628e-08
8.41140747, 4.79484719e-08
8.57963562, 4.07548661e-09
8.74786377, 2.08662798e-09
8.91609192, 1.80552961e-09
9.08432007, 1.16628651e-09
9.25254822, 1.88837457e-09
9.42077637, 5.16282395e-09
9.58900452, 3.11066151e-09
9.75723267, 1.58337732e-09
9.92546082, 1.08908949e-09
10.093689, 1.1265352e-09
10.2619171, 1.10999654e-09
10.4301453, 1.18075072e-09
10.5983734, 1.77305659e-09
10.7666016, 1.5934577e-09
10.9348297, 1.45255885e-09
11.1030579, 1.24928978e-09
11.271286, 1.50302537e-09
11.4395142, 1.60142222e-09
11.6077423, 1.62957414e-09
11.7759705, 2.48206389e-09
11.9441986, 3.33285755e-09
12.1124268, 3.84645116e-09
12.2806549, 4.49851845e-09
12.4488831, 6.23845731e-09
12.6171112, 7.24436422e-09
12.7853394, 1.03143023e-08
12.9535675, 9.90140769e-09
13.1217957, 1.19343602e-08
13.2900238, 1.87163796e-08
13.458252, 1.6018797e-08
13.6264801, 1.44507197e-08
13.7947083, 1.38793625e-08
13.9629364, 1.2295466e-08
14.1311646, 1.07270433e-08
14.2993927, 1.43505945e-08
14.4676208, 8.74770389e-09
14.635849, 6.80719081e-09
14.8040771, 5.81466741e-09
14.9723053, 6.74889389e-09
15.1405334, 6.05383565e-09
15.3087616, 4.21086899e-09
15.4769897, 5.64109781e-09
15.6452179, 5.32426236e-09
15.813446, 7.78499665e-09
15.9816742, 7.57898011e-09
16.1499023, 4.49901894e-09
16.3181305, 4.35872627e-09
16.4863586, 1.88581062e-08
16.6545868, 6.48367333e-08
16.8228149, 2.58815565e-08
16.9910431, 5.6747167e-09
17.1592712, 6.89166324e-09
17.3274994, 9.43320977e-09
17.4957275, 9.75733627e-09
17.6639557, 7.6217761e-09
17.8321838, 6.09766504e-09
18.000412, 5.57881297e-09
18.1686401, 9.08327014e-09
18.3368683, 1.19405446e-08
18.5050964, 1.44310377e-08
18.6733246, 1.31202089e-08
18.8415527, 1.53688653e-08
19.0097809, 1.40332954e-08
19.178009, 1.95120133e-08
19.3462372, 1.85518036e-08
19.5144653, 1.96814085e-08
19.6826935, 1.66074692e-08
19.8509216, 8.15893042e-09
20.0191498, 7.32828553e-09
20.1873779, 6.13890228e-09
20.3556061, 5.12744602e-09
20.5238342, 4.56464733e-09
20.6920624, 5.6145808e-09
20.8602905, 6.97719171e-09
21.0285187, 7.13300796e-09
